NOME DA BARRAGEM DE MINERAÇÃO	Latitute Decimal	Longitude Decimal	UF	MUNICÍPIO	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	DANO POTENCIAL ASSOCIADO
BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB	-1.941.065	-4.795.568.333	MG	UBERABA	2	4600	
BARRAGEM USINA BENEFICIAMENTO L7 - IIA	-1.941.030.556	-4.795.568.333	MG	UBERABA	2	7100	
BARRAGEM USINA BENEFICIAMENTO L7 - IIB	-1.941.079.722	-4.795.628.611	MG	UBERABA	2	4900	
BARRAGEM USINA BENEFICIAMENTO L8 - IIIA	-1.940.975	-4.795.568.333	MG	UBERABA	2	4900	
BARRAGEM USINA BENEFICIAMENTO L8 - IIIB	-1.940.947.222	-4.795.568.333	MG	UBERABA	2	3900	
C - PDE Nordeste	-1.993.845.083	-4.358.381.028	MG	BARÃO DE COCAIS	8	15377.28	
Captação	-2.020.283.333	-4.360.225	MG	SANTA BÁRBARA	8.2	511	
Captação Córrego das Almas	-2.015.803.222	-4.346.809.861	MG	MARIANA	8.5	2165.46	
Captação Trovões	-2.016.872.222	-4.386.147.222	MG	ITABIRITO	8.83	503	
Cata Branca	-2.023.311.111	-4.385.675	MG	ITABIRITO	9	12000	
CONJUNTO DE BAIAS VIGA	-2.049.602.778	-4.391.766.667	MG	CONGONHAS	9	70613.28	
D-1	-1.796.831.389	-4.316.901.389	MG	SENADOR MODESTINO GONÇALVES	11	8000	
D-2	-1.796.846.111	-4.316.977.778	MG	SENADOR MODESTINO GONÇALVES	14	36000	
D-3	-1.796.865.833	-4.316.974.444	MG	SENADOR MODESTINO GONÇALVES	6	5000	
Dique - Pilha 2	-2.012.986.944	-4.410.256.389	MG	BRUMADINHO	2	250	
Dique - Pilha 4	-2.012.308.806	-4.410.646.972	MG	BRUMADINHO	8	183	
Dique - Pilha de Rejeito	-20.110.225	-439.088	MG	NOVA LIMA	10	80000	
Dique 01 - Serra Azul	-2.011.979.444	-4.438.552.222	MG	MATEUS LEME	14	12347	
Dique 01 de Terra	-2.013.871.194	-4.440.083.083	MG	ITATIAIUÇU	9	15000	
Dique 01 Serra Azul - Dique Vai e Volta 1	-2.012.908.333	-4.442.019.444	MG	MATEUS LEME	13	30000	
Dique 02 - Pitangui	-2.012.368.889	-4.437.551.667	MG	MATEUS LEME	6	2100	
Dique 02 Serra Azul - Dique Vai e Volta 2	-2.013.027.778	-444.225	MG	MATEUS LEME	12	45000	
Dique 03	-2.012.172.778	-4.431.940.833	MG	BRUMADINHO	5	900	
Dique 03 Serra Azul - Dique Vai e Volta 3	-2.013.073.611	-4.442.670.278	MG	MATEUS LEME	11.45	76000	
