NOME DA BARRAGEM DE MINERAÇÃO	Latitute Decimal	Longitude Decimal	UF	MUNICÍPIO	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	DANO POTENCIAL ASSOCIADO
Dique 4 (Barragem 3 - Bota fora)	-2.335.680.556	-4.627.533.333	SP	SANTA ISABEL	8	15000	
Dique 5 (Barragem 4 - Bota fora)	-2.335.605.556	-4.627.469.444	SP	SANTA ISABEL	10	12000	
Dutra	-2.343.072.222	-4.621.088.889	SP	MOGI DAS CRUZES	0	130000	
engebrita	-2.388.213.889	-4.631.433.333	SP	SANTOS	3.5	30000	
Fazenda Santa Fé	-2.350.897.222	-4.739.088.889	SP	SOROCABA	3	2700	
Fiori	-2.340.444.444	-4.619.847.222	SP	MOGI DAS CRUZES	0	325000	
Guará 2	-2.339.230.556	-4.613.636.111	SP	GUARAREMA	5	78300	
JBS2	-2.339.633.333	-4.619.763.889	SP	MOGI DAS CRUZES	11	270000	
JBS3	-2.339.222.222	-4.620.069.444	SP	MOGI DAS CRUZES	0	310000	
MD 05/2016	-219.568	-4.762.185.972	SP	DESCALVADO	12.75	245447.47	
OURO BRANCO LESTE	-2.366.177.778	-4.766.477.778	SP	SALTO DE PIRAPORA	5	399000	
PIRAPORÃO 138 II	-2.362.836.111	-47.622	SP	SALTO DE PIRAPORA	4	28000	
PIRAPORÃO 138 III	-2.363.155.556	-4.762.180.556	SP	SALTO DE PIRAPORA	8	115200	
PORTO-4A	-2.356.280.556	-4.626.791.667	SP	MOGI DAS CRUZES	8	933900	
PORTO-4B	-2.356.563.889	-4.627.336.111	SP	MOGI DAS CRUZES	7	345000	
PORTO-6B	-2.338.577.778	-4.619.422.222	SP	MOGI DAS CRUZES	12	290000	
PORTO-8	-2.355.583.333	-4.628.319.444	SP	SUZANO	14	1472940	
Quevedo 1	-2.335.480.556	-4.773.025	SP	TATUÍ	8	96500	
Quevedo 2	-2.335.591.667	-4.772.844.444	SP	TATUÍ	7	194676.65	
Sedimentação de finos	-2.312.047.222	-4.822.805.556	SP	BOFETE	10	0	
Sítio Horii	-2.362.108.333	-4.624.758.333	SP	MOGI DAS CRUZES	13.4	117462.8	
TABOÃO 01	-2.339.711.111	-4.620.505.556	SP	MOGI DAS CRUZES	12.5	350000	
TABOÃO 02	-2.339.519.444	-4.620.566.667	SP	MOGI DAS CRUZES	12	556508.4	
TABOÃO 03	-23.394	-4.620.975	SP	MOGI DAS CRUZES	2	9624	
TANQUE DE DECANTAÇÃO	-2.199.622.222	-4.716.858.333	SP	AGUAÍ	3	35000	
TANQUE DE DECANTAÇÃO 2	-2.199.616.667	-4.716.780.556	SP	AGUAÍ	3	40000	
TANQUE DE LAMA	-2.318.861.111	-4.834.972.222	SP	BOFETE	2	30000	
TD2	-2.357.956.083	-4.782.935.472	SP	ALAMBARI	2	1800	
UNIDOS	-2.361.913.889	-4.782.025	SP	SARAPUÍ	8	86240	
BARRAGEM	-1.078.916.667	-4.807.944.444	TO	MONTE DO CARMO	5.7	39000	
BARRAGEM GEOMINAS	-1.164.741.667	-4.767.673.333	TO	NATIVIDADE	5	9750	
BARRAGEM GEOMINAS-001	-1.164.932.778	-4.767.617.778	TO	NATIVIDADE	8	86000	
BARRAGEM GEOMINAS-002	-1.165.000.278	-4.767.500.278	TO	NATIVIDADE	8	70800	
SANTA LUZIA	-1.158.894.444	-4.788.317.222	TO	NATIVIDADE	5	600000	
